#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
0119,Seaking,Water,175,147,190,20%,7%,"Peck, Waterfall, Poison Jab (legacy)","Ice Beam, Megahorn, Water Pulse, Drill Run (legacy), Icy Wind (legacy)"
0120,Staryu,Water,137,112,102,50%,15%,"Tackle, Water Gun","Bubble Beam, Power Gem, Swift"
0121,Starmie,Water Psychic,210,184,155,20%,6%,"Hidden Power, Water Gun, Tackle (legacy)","Hydro Pump, Ice Beam, Power Gem, Psychic, Thunder"
0122,Mr. Mime,Psychic Fairy,192,205,120,30%,9%,"Confusion, Magical Leaf, Zen Headbutt","Psybeam, Psychic, Shadow Ball, Frustration (Shadow), Return (Purified)"
0122,Mr. Mime Galarian Mr. Mime,Ice Psychic,183,169,137,30%,9%,"Confusion, Zen Headbutt","Ice Punch, Psybeam, Psychic, Triple Axel, Frustration (Shadow), Return (Purified)"
0123,Scyther,Bug Flying,218,170,172,30%,9%,"Air Slash, Fury Cutter, Steel Wing (legacy)","Aerial Ace, Night Slash, Trailblaze, X-Scissor, Bug Buzz (legacy), Frustration (Shadow), Return (Purified)"
0124,Jynx,Ice Psychic,223,151,163,30%,9%,"Confusion, Frost Breath, Pound (legacy)","Avalanche, Draining Kiss, Focus Blast, Psyshock, Ice Punch (legacy)"
0125,Electabuzz,Electric,198,158,163,20%,9%,"Low Kick, Thunder Shock","Thunder, Thunder Punch, Thunderbolt, Frustration (Shadow), Return (Purified)"
0126,Magmar,Fire,206,154,163,20%,9%,"Ember, Karate Chop","Fire Blast, Fire Punch, Flamethrower, Scorching Sands, Frustration (Shadow), Return (Purified)"
0127,Pinsir,Bug,238,182,163,30%,9%,"Bug Bite, Fury Cutter, Rock Smash","Close Combat, Superpower, Vise Grip, X-Scissor, Submission (legacy), Frustration (Shadow), Return (Purified)"
0127,Pinsir Mega Pinsir,Bug Flying,305,231,163,30%,9%,,
0128,Tauros,Normal,198,183,181,30%,9%,"Tackle, Zen Headbutt","Earthquake, Horn Attack, Iron Head, Trailblaze"
0129,Magikarp,Water,29,85,85,70%,15%,Splash,"Struggle, Frustration (Shadow), Return (Purified)"
0130,Gyarados,Water Flying,237,186,216,10%,7%,"Bite, Dragon Breath, Waterfall, Dragon Tail (legacy)","Crunch, Hydro Pump, Outrage, Twister, Dragon Pulse (legacy), Aqua Tail (Community Day), Frustration (Shadow), Return (Purified)"
0130,Gyarados Mega Gyarados,Water Dark,292,247,216,10%,7%,,
0131,Lapras,Water Ice,165,174,277,5%,9%,"Frost Breath, Water Gun, Ice Shard (legacy)","Blizzard, Hydro Pump, Skull Bash, Surf, Dragon Pulse (legacy), Ice Beam (legacy), Frustration (Shadow), Return (Purified)"
0132,Ditto,Normal,91,91,134,20%,10%,Transform,Struggle
0133,Eevee,Normal,104,114,146,40%,10%,"Quick Attack, Tackle","Dig, Swift, Body Slam (legacy), Last Resort (Community Day)"
0134,Vaporeon,Water,205,161,277,12.5%,6%,Water Gun,"Aqua Tail, Hydro Pump, Liquidation, Water Pulse, Last Resort (Community Day), Scald (Community Day)"
0135,Jolteon,Electric,232,182,163,12.5%,6%,"Thunder Shock, Volt Switch","Discharge, Thunder, Thunderbolt, Last Resort (Community Day), Zap Cannon (Community Day)"
0136,Flareon,Fire,246,179,163,12.5%,6%,"Ember, Fire Spin","Fire Blast, Flamethrower, Overheat, Heat Wave (legacy), Last Resort (Community Day), Superpower (Community Day)"
0137,Porygon,Normal,153,136,163,40%,9%,"Charge Beam, Hidden Power, Tackle (legacy), Zen Headbutt (legacy)","Hyper Beam, Solar Beam, Zap Cannon, Discharge (legacy), Psybeam (legacy), Signal Beam (legacy), Frustration (Shadow), Return (Purified)"
0138,Omanyte,Rock Water,155,153,111,40%,9%,"Mud Shot, Water Gun","Ancient Power, Bubble Beam, Rock Blast, Brine (legacy), Rock Tomb (legacy), Frustration (Shadow), Return (Purified)"
0139,Omastar,Rock Water,207,201,172,15%,5%,"Mud Shot, Water Gun, Rock Throw (legacy)","Ancient Power, Hydro Pump, Rock Blast, Rock Slide (legacy), Frustration (Shadow), Return (Purified)"
0140,Kabuto,Rock Water,148,140,102,40%,9%,"Mud Shot, Scratch","Ancient Power, Aqua Jet, Rock Tomb, Frustration (Shadow), Return (Purified)"
0141,Kabutops,Rock Water,220,186,155,15%,5%,"Mud Shot, Rock Smash, Waterfall, Fury Cutter (legacy)","Ancient Power, Stone Edge, Water Pulse, Frustration (Shadow), Return (Purified)"
0142,Aerodactyl,Rock Flying,221,159,190,20%,9%,"Bite, Rock Throw, Steel Wing","Ancient Power, Earth Power, Hyper Beam, Iron Head, Rock Slide, Frustration (Shadow), Return (Purified)"
0142,Aerodactyl Mega Aerodactyl,Rock Flying,292,210,190,20%,9%,,
0143,Snorlax,Normal,190,169,330,5%,9%,"Lick, Zen Headbutt, Yawn (legacy)","Body Slam, Earthquake, Heavy Slam, Hyper Beam, Outrage, Skull Bash, Superpower, Frustration (Shadow), Return (Purified)"
0144,Articuno,Ice Flying,192,236,207,3%,10%,"Frost Breath, Ice Shard","Ancient Power, Blizzard, Ice Beam, Icy Wind, Hurricane (legacy), Frustration (Shadow), Return (Purified)"
0144,Articuno Galarian Articuno,Psychic Flying,250,197,207,0.3%,90%,"Confusion, Psycho Cut","Ancient Power, Brave Bird, Future Sight, Frustration (Shadow), Return (Purified)"
0145,Zapdos,Electric Flying,253,185,207,3%,10%,"Charge Beam, Thunder Shock (legacy)","Ancient Power, Drill Peck, Thunder, Thunderbolt, Zap Cannon, Frustration (Shadow), Return (Purified)"
0145,Zapdos Galarian Zapdos,Fighting Flying,252,189,207,0.3%,90%,Counter,"Ancient Power, Brave Bird, Close Combat, Frustration (Shadow), Return (Purified)"
0146,Moltres,Fire Flying,251,181,207,3%,10%,"Fire Spin, Wing Attack","Ancient Power, Fire Blast, Heat Wave, Overheat, Sky Attack (legacy), Frustration (Shadow), Return (Purified)"
0146,Moltres Galarian Moltres,Dark Flying,202,231,207,0.3%,90%,"Sucker Punch, Wing Attack","Ancient Power, Brave Bird, Payback, Frustration (Shadow), Return (Purified)"
0147,Dratini,Dragon,119,91,121,40%,9%,"Dragon Breath, Iron Tail","Aqua Tail, Twister, Wrap, Frustration (Shadow), Return (Purified)"
0148,Dragonair,Dragon,163,135,156,10%,6%,"Dragon Breath, Iron Tail","Aqua Tail, Body Slam, Dragon Pulse, Wrap, Frustration (Shadow), Return (Purified)"
0149,Dragonite,Dragon Flying,263,198,209,5%,5%,"Dragon Breath, Dragon Tail, Steel Wing","Dragon Claw, Hurricane, Hyper Beam, Outrage, Superpower, Dragon Pulse (legacy), Draco Meteor (Community Day), Frustration (Shadow), Return (Purified)"
0150,Mewtwo,Psychic,300,182,214,6%,10%,"Confusion, Psycho Cut","Flamethrower, Focus Blast, Ice Beam, Psychic, Thunderbolt, Hyper Beam (legacy), Psystrike (legacy), Shadow Ball (legacy), Frustration (Shadow), Return (Purified)"
0150,Mewtwo Armored Mewtwo,Psychic,182,278,214,6%,0%,"Confusion, Iron Tail","Dynamic Punch, Earthquake, Future Sight, Rock Slide, Psystrike (legacy), Frustration (Shadow), Return (Purified)"
0151,Mew,Psychic,210,210,225,100%,0%,"Charge Beam, Cut, Dragon Tail, Frost Breath, Infestation, Poison Jab, Pound, Rock Smash, Shadow Claw, Snarl, Steel Wing, Struggle Bug, Volt Switch, Waterfall","Ancient Power, Blizzard, Bulldoze, Dark Pulse, Dazzling Gleam, Dragon Claw, Energy Ball, Flame Charge, Flash Cannon, Focus Blast, Grass Knot, Gyro Ball, Hyper Beam, Ice Beam, Low Sweep, Overheat, Psychic, Psyshock, Rock Slide, Solar Beam, Stone Edge, Surf, Thunder, Thunderbolt, Wild Charge"
0152,Chikorita,Grass,92,122,128,20%,10%,"Magical Leaf, Tackle, Vine Whip","Body Slam, Energy Ball, Grass Knot, Frustration (Shadow), Return (Purified)"
0153,Bayleef,Grass,122,155,155,12.5%,7%,"Magical Leaf, Razor Leaf, Tackle","Ancient Power, Energy Ball, Grass Knot, Frustration (Shadow), Return (Purified)"
0154,Meganium,Grass,168,202,190,5%,5%,"Magical Leaf, Razor Leaf, Vine Whip","Earthquake, Petal Blizzard, Solar Beam, Frenzy Plant (Community Day), Frustration (Shadow), Return (Purified)"
0155,Cyndaquil,Fire,116,93,118,20%,10%,"Ember, Tackle","Flame Charge, Flamethrower, Swift, Frustration (Shadow), Return (Purified)"
0156,Quilava,Fire,158,126,151,12.5%,7%,"Ember, Tackle","Dig, Flame Charge, Flamethrower, Frustration (Shadow), Return (Purified)"
0157,Typhlosion,Fire,223,173,186,5%,5%,"Ember, Incinerate, Shadow Claw","Fire Blast, Overheat, Solar Beam, Blast Burn (Community Day), Frustration (Shadow), Return (Purified)"
0158,Totodile,Water,117,109,137,20%,10%,"Scratch, Water Gun","Aqua Jet, Crunch, Water Pulse, Frustration (Shadow), Return (Purified)"
0159,Croconaw,Water,150,142,163,12.5%,7%,"Scratch, Water Gun","Crunch, Ice Punch, Water Pulse, Frustration (Shadow), Return (Purified)"
0160,Feraligatr,Water,205,188,198,5%,5%,"Bite, Ice Fang, Waterfall, Water Gun (legacy)","Crunch, Hydro Pump, Ice Beam, Hydro Cannon (Community Day), Frustration (Shadow), Return (Purified)"
0161,Sentret,Normal,79,73,111,50%,20%,"Quick Attack, Scratch","Brick Break, Dig, Grass Knot"
0162,Furret,Normal,148,125,198,15%,7%,"Quick Attack, Sucker Punch","Brick Break, Dig, Hyper Beam"
0163,Hoothoot,Normal Flying,67,88,155,50%,15%,"Feint Attack, Peck","Aerial Ace, Night Shade, Sky Attack"
0164,Noctowl,Normal Flying,145,156,225,15%,7%,"Extrasensory, Wing Attack","Night Shade, Psychic, Shadow Ball, Sky Attack"
0165,Ledyba,Bug Flying,72,118,120,50%,20%,"Bug Bite, Tackle","Aerial Ace, Silver Wind, Swift, Frustration (Shadow), Return (Purified)"
0166,Ledian,Bug Flying,107,179,146,15%,7%,"Bug Bite, Struggle Bug","Aerial Ace, Bug Buzz, Dynamic Punch, Silver Wind, Frustration (Shadow), Return (Purified)"
0167,Spinarak,Bug Poison,105,73,120,50%,20%,"Bug Bite, Poison Sting","Cross Poison, Night Slash, Signal Beam"
0168,Ariados,Bug Poison,161,124,172,15%,7%,"Infestation, Poison Sting","Cross Poison, Lunge, Megahorn, Shadow Sneak"
0169,Crobat,Poison Flying,194,178,198,10%,5%,"Air Slash, Bite","Air Cutter, Cross Poison, Poison Fang, Shadow Ball, Sludge Bomb, Frustration (Shadow), Return (Purified)"
0170,Chinchou,Water Electric,106,97,181,40%,10%,"Bubble, Spark","Bubble Beam, Thunderbolt, Water Pulse"
0171,Lanturn,Water Electric,146,137,268,15%,7%,"Charge Beam, Spark, Water Gun","Hydro Pump, Surf, Thunder, Thunderbolt"
0172,Pichu,Electric,77,53,85,25%,5%,Thunder Shock,"Disarming Voice, Thunder Punch, Thunderbolt"
0173,Cleffa,Fairy,75,79,137,25%,5%,"Pound, Zen Headbutt","Grass Knot, Psyshock, Signal Beam, Body Slam (legacy), Psychic (legacy)"
0174,Igglybuff,Normal Fairy,69,32,207,25%,5%,"Feint Attack, Pound","Psychic, Shadow Ball, Wild Charge, Body Slam (legacy)"
0175,Togepi,Fairy,67,116,111,25%,5%,"Hidden Power, Peck, Zen Headbutt (legacy)","Ancient Power, Dazzling Gleam, Psyshock"
0176,Togetic,Fairy Flying,139,181,146,20%,5%,"Extrasensory, Fairy Wind, Hidden Power, Steel Wing (legacy), Zen Headbutt (legacy)","Aerial Ace, Ancient Power, Dazzling Gleam"
0177,Natu,Psychic Flying,134,89,120,40%,15%,"Peck, Quick Attack","Drill Peck, Night Shade, Psyshock, Frustration (Shadow), Return (Purified)"
0178,Xatu,Psychic Flying,192,146,163,15%,7%,"Air Slash, Feint Attack","Aerial Ace, Future Sight, Ominous Wind, Frustration (Shadow), Return (Purified)"
0179,Mareep,Electric,114,79,146,50%,10%,"Tackle, Thunder Shock","Body Slam, Discharge, Thunderbolt, Trailblaze, Frustration (Shadow), Return (Purified)"
0180,Flaaffy,Electric,145,109,172,25%,7%,"Charge Beam, Tackle","Discharge, Power Gem, Thunderbolt, Trailblaze, Frustration (Shadow), Return (Purified)"
0181,Ampharos,Electric,211,169,207,12.5%,5%,"Charge Beam, Volt Switch","Brutal Swing, Focus Blast, Power Gem, Thunder, Thunder Punch, Trailblaze, Zap Cannon, Dragon Pulse (Community Day), Frustration (Shadow), Return (Purified)"
0181,Ampharos Mega Ampharos,Electric Dragon,294,203,207,12.5%,5%,,
0182,Bellossom,Grass,169,186,181,5%,5%,"Acid, Bullet Seed, Magical Leaf, Razor Leaf","Dazzling Gleam, Leaf Blade, Petal Blizzard, Frustration (Shadow), Return (Purified)"
0183,Marill,Water Fairy,37,93,172,50%,10%,"Bubble, Tackle","Aqua Tail, Body Slam, Bubble Beam"
0184,Azumarill,Water Fairy,112,152,225,15%,7%,"Bubble, Rock Smash","Hydro Pump, Ice Beam, Play Rough"
0185,Sudowoodo,Rock,167,176,172,12.5%,5%,"Counter, Rock Throw","Earthquake, Meteor Beam, Rock Slide, Rock Tomb, Stone Edge, Trailblaze, Frustration (Shadow), Return (Purified)"
0186,Politoed,Water,174,179,207,10%,5%,"Bubble, Mud Shot","Blizzard, Hydro Pump, Surf, Weather Ball - Water, Earthquake (legacy), Ice Beam (Community Day), Frustration (Shadow), Return (Purified)"
0187,Hoppip,Grass Flying,67,94,111,50%,12%,"Bullet Seed, Tackle","Dazzling Gleam, Grass Knot, Seed Bomb, Frustration (Shadow), Return (Purified)"
0188,Skiploom,Grass Flying,91,120,146,25%,7%,"Bullet Seed, Tackle","Dazzling Gleam, Energy Ball, Grass Knot, Frustration (Shadow), Return (Purified)"
0189,Jumpluff,Grass Flying,118,183,181,12.5%,5%,"Bullet Seed, Fairy Wind, Infestation","Aerial Ace, Dazzling Gleam, Energy Ball, Solar Beam, Acrobatics (Community Day), Frustration (Shadow), Return (Purified)"
0190,Aipom,Normal,136,112,146,20%,9%,"Astonish, Scratch","Aerial Ace, Low Sweep, Swift, Frustration (Shadow), Return (Purified)"
0191,Sunkern,Grass,55,55,102,50%,9%,"Cut, Razor Leaf","Energy Ball, Grass Knot, Seed Bomb"
0192,Sunflora,Grass,185,135,181,10%,7%,"Bullet Seed, Razor Leaf","Leaf Storm, Petal Blizzard, Sludge Bomb, Solar Beam"
0193,Yanma,Bug Flying,154,94,163,30%,10%,"Quick Attack, Wing Attack","Aerial Ace, Ancient Power, Silver Wind"
0194,Wooper,Water Ground,75,66,146,40%,10%,"Mud Shot, Water Gun","Body Slam, Dig, Mud Bomb, Frustration (Shadow), Return (Purified)"
0194,Wooper Paldean Wooper,Poison Ground,75,66,146,40%,10%,"Mud Shot, Poison Jab","Body Slam, Dig, Sludge Wave, Frustration (Shadow), Return (Purified)"
0195,Quagsire,Water Ground,152,143,216,15%,7%,"Mud Shot, Water Gun","Acid Spray, Earthquake, Mud Bomb, Sludge Bomb, Stone Edge, Aqua Tail (Community Day), Frustration (Shadow), Return (Purified)"
0196,Espeon,Psychic,261,175,163,12.5%,5%,"Confusion, Zen Headbutt","Future Sight, Psybeam, Psychic, Psychic Fangs, Last Resort (Community Day), Shadow Ball (Community Day)"
0197,Umbreon,Dark,126,240,216,12.5%,5%,"Feint Attack, Snarl","Dark Pulse, Foul Play, Last Resort (Community Day), Psychic (Community Day)"
0198,Murkrow,Dark Flying,175,87,155,20%,10%,"Feint Attack, Peck","Dark Pulse, Drill Peck, Foul Play, Frustration (Shadow), Return (Purified)"
0199,Slowking,Water Psychic,177,180,216,10%,5%,"Confusion, Water Gun","Blizzard, Fire Blast, Psychic, Surf (Community Day), Frustration (Shadow), Return (Purified)"
0199,Slowking Galarian Slowking,Poison Psychic,190,180,216,10%,5%,"Acid, Confusion, Hex","Future Sight, Shadow Ball, Sludge Wave, Surf (Community Day), Frustration (Shadow), Return (Purified)"
0200,Misdreavus,Ghost,167,154,155,30%,7%,"Astonish, Hex","Dark Pulse, Ominous Wind, Shadow Sneak, Frustration (Shadow), Return (Purified)"
0201,Unown,Psychic,136,91,134,30%,10%,Hidden Power,Struggle
0202,Wobbuffet,Psychic,60,106,382,25%,7%,"Charm, Counter, Splash","Mirror Coat, Frustration (Shadow), Return (Purified)"
0203,Girafarig,Normal Psychic,182,133,172,30%,7%,"Confusion, Double Kick, Tackle","Mirror Coat, Psychic, Psychic Fangs, Thunderbolt, Trailblaze, Frustration (Shadow), Return (Purified)"
0204,Pineco,Bug,108,122,137,40%,12%,"Bug Bite, Tackle","Gyro Ball, Rock Tomb, Sand Tomb, Frustration (Shadow), Return (Purified)"
0205,Forretress,Bug Steel,161,205,181,15%,7%,"Bug Bite, Struggle Bug","Earthquake, Heavy Slam, Mirror Shot, Rock Tomb, Sand Tomb, Frustration (Shadow), Return (Purified)"
0206,Dunsparce,Normal,131,128,225,30%,20%,"Astonish, Bite, Rollout","Dig, Drill Run, Rock Slide"
0207,Gligar,Ground Flying,143,184,163,20%,7%,"Fury Cutter, Wing Attack","Aerial Ace, Dig, Night Slash, Frustration (Shadow), Return (Purified)"
0208,Steelix,Steel Ground,148,272,181,10%,5%,"Dragon Tail, Iron Tail, Thunder Fang","Breaking Swipe, Crunch, Earthquake, Heavy Slam, Psychic Fangs, Frustration (Shadow), Return (Purified)"
0208,Steelix Mega Steelix,Steel Ground,212,327,181,10%,5%,,
0209,Snubbull,Fairy,137,85,155,40%,10%,"Bite, Tackle","Brick Break, Crunch, Dazzling Gleam, Frustration (Shadow), Return (Purified)"
0210,Granbull,Fairy,212,131,207,15%,8%,"Bite, Charm, Snarl","Close Combat, Crunch, Play Rough, Frustration (Shadow), Return (Purified)"
0211,Qwilfish,Water Poison,184,138,163,30%,8%,"Poison Sting, Water Gun","Acid Spray, Aqua Tail, Fell Stinger, Ice Beam, Sludge Wave"
0211,Qwilfish Hisuian Qwilfish,Dark Poison,184,151,163,30%,8%,"Poison Jab, Poison Sting","Aqua Tail, Dark Pulse, Ice Beam, Shadow Ball, Sludge Bomb"
0212,Scizor,Bug Steel,236,181,172,5%,5%,"Bullet Punch, Fury Cutter","Iron Head, Night Slash, Trailblaze, X-Scissor, Frustration (Shadow), Return (Purified)"
0212,Scizor Mega Scizor,Bug Steel,279,250,172,5%,5%,,
0213,Shuckle,Bug Rock,17,396,85,30%,7%,"Rock Throw, Struggle Bug","Gyro Ball, Rock Blast, Stone Edge, Frustration (Shadow), Return (Purified)"
0214,Heracross,Bug Fighting,234,179,190,30%,9%,"Counter, Struggle Bug","Close Combat, Earthquake, Megahorn, Rock Blast"
0215,Sneasel,Dark Ice,189,146,146,20%,7%,"Feint Attack, Ice Shard","Avalanche, Foul Play, Ice Punch, Triple Axel, Frustration (Shadow), Return (Purified)"
0215,Sneasel Hisuian Sneasel,Fighting Poison,189,146,146,20%,7%,"Poison Jab, Rock Smash","Aerial Ace, Close Combat, X-Scissor, Frustration (Shadow), Return (Purified)"
0216,Teddiursa,Normal,142,93,155,50%,20%,"Lick, Scratch","Cross Chop, Crunch, Play Rough, Trailblaze, Frustration (Shadow), Return (Purified)"
0217,Ursaring,Normal,236,144,207,15%,7%,"Counter, Metal Claw, Shadow Claw","Close Combat, Hyper Beam, Play Rough, Trailblaze, Frustration (Shadow), Return (Purified)"
0218,Slugma,Fire,118,71,120,30%,10%,"Ember, Rock Throw","Flame Burst, Flame Charge, Rock Slide"
0219,Magcargo,Fire Rock,139,191,137,12.5%,6%,"Ember, Incinerate, Rock Throw","Heat Wave, Overheat, Rock Tomb, Stone Edge"
0220,Swinub,Ice Ground,90,69,137,30%,10%,"Powder Snow, Tackle","Body Slam, Icy Wind, Rock Slide, Frustration (Shadow), Return (Purified)"
0221,Piloswine,Ice Ground,181,138,225,12.5%,6%,"Ice Shard, Powder Snow","Avalanche, Bulldoze, High Horsepower, Stone Edge, Frustration (Shadow), Return (Purified)"
0222,Corsola,Water Rock,118,156,146,30%,12%,"Bubble, Tackle","Bubble Beam, Power Gem, Rock Blast"
0223,Remoraid,Water,127,69,111,50%,10%,"Mud Shot, Water Gun","Aurora Beam, Rock Blast, Water Pulse"
0224,Octillery,Water,197,141,181,15%,7%,"Lock-On, Mud Shot, Water Gun","Acid Spray, Aurora Beam, Gunk Shot, Octazooka, Water Pulse"
0225,Delibird,Ice Flying,128,90,128,20%,20%,Present,"Aerial Ace, Ice Punch, Icy Wind, Frustration (Shadow), Return (Purified)"
0226,Mantine,Water Flying,148,226,163,30%,7%,"Bubble, Bullet Seed, Wing Attack","Aerial Ace, Bubble Beam, Ice Beam, Water Pulse"
0227,Skarmory,Steel Flying,148,226,163,20%,9%,"Air Slash, Steel Wing","Brave Bird, Flash Cannon, Sky Attack, Frustration (Shadow), Return (Purified)"
0228,Houndour,Dark Fire,152,83,128,40%,10%,"Ember, Feint Attack","Crunch, Dark Pulse, Flamethrower, Frustration (Shadow), Return (Purified)"
0229,Houndoom,Dark Fire,224,144,181,15%,6%,"Fire Fang, Snarl","Crunch, Fire Blast, Flamethrower, Foul Play, Frustration (Shadow), Return (Purified)"
0229,Houndoom Mega Houndoom,Dark Fire,289,194,181,15%,6%,,
0230,Kingdra,Water Dragon,194,194,181,10%,5%,"Dragon Breath, Waterfall, Water Gun (legacy)","Blizzard, Hydro Pump, Octazooka, Outrage, Frustration (Shadow), Return (Purified)"
0231,Phanpy,Ground,107,98,207,50%,20%,"Rock Smash, Tackle","Body Slam, Bulldoze, Rock Slide, Trailblaze, Frustration (Shadow), Return (Purified)"
0232,Donphan,Ground,214,185,207,12.5%,7%,"Charm, Counter, Mud-Slap, Tackle","Body Slam, Earthquake, Heavy Slam, Play Rough, Trailblaze, Frustration (Shadow), Return (Purified)"
0233,Porygon2,Normal,198,180,198,5%,5%,"Charge Beam, Hidden Power, Lock-On","Hyper Beam, Solar Beam, Tri Attack, Zap Cannon, Frustration (Shadow), Return (Purified)"
0234,Stantler,Normal,192,131,177,30%,8%,"Tackle, Zen Headbutt","Megahorn, Stomp, Wild Charge, Frustration (Shadow), Return (Purified)"
0235,Smeargle,Normal,40,83,146,25%,7%,,
0236,Tyrogue,Fighting,64,64,111,25%,20%,"Rock Smash, Tackle","Brick Break, Low Sweep, Rock Slide"
0237,Hitmontop,Fighting,173,207,137,10%,5%,"Counter, Rock Smash","Close Combat, Gyro Ball, Stone Edge, Triple Axel, Frustration (Shadow), Return (Purified)"
0238,Smoochum,Ice Psychic,153,91,128,25%,20%,"Pound, Powder Snow, Frost Breath (legacy)","Ice Beam, Ice Punch, Psyshock"
0239,Elekid,Electric,135,101,128,25%,20%,"Low Kick, Thunder Shock","Brick Break, Discharge, Thunder Punch, Thunderbolt (legacy)"
0240,Magby,Fire,151,99,128,25%,20%,"Ember, Karate Chop","Brick Break, Fire Punch, Flame Burst, Flamethrower (legacy)"
0241,Miltank,Normal,157,193,216,20%,8%,"Rollout, Tackle, Zen Headbutt","Body Slam, Gyro Ball, Ice Beam, Stomp, Thunderbolt"
0242,Blissey,Normal,129,169,496,5%,5%,"Pound, Zen Headbutt","Dazzling Gleam, Hyper Beam, Psychic"
0243,Raikou,Electric,241,195,207,2%,4%,"Thunder Shock, Volt Switch","Shadow Ball, Thunder, Thunderbolt, Wild Charge, Frustration (Shadow), Return (Purified)"
0244,Entei,Fire,235,171,251,2%,4%,"Fire Fang, Fire Spin","Fire Blast, Flame Charge, Flamethrower, Iron Head, Overheat, Scorching Sands, Frustration (Shadow), Return (Purified)"
0245,Suicune,Water,180,235,225,2%,4%,"Extrasensory, Ice Fang, Snarl, Hidden Power (legacy)","Bubble Beam, Hydro Pump, Ice Beam, Water Pulse, Frustration (Shadow), Return (Purified)"
0246,Larvitar,Rock Ground,115,93,137,40%,10%,"Bite, Rock Smash","Ancient Power, Crunch, Stomp, Frustration (Shadow), Return (Purified)"
0247,Pupitar,Rock Ground,155,133,172,10%,7%,"Bite, Rock Smash","Ancient Power, Crunch, Dig, Frustration (Shadow), Return (Purified)"
0248,Tyranitar,Rock Dark,251,207,225,5%,4%,"Bite, Iron Tail, Smack Down (Community Day)","Brutal Swing, Crunch, Fire Blast, Stone Edge, Frustration (Shadow), Return (Purified)"
0248,Tyranitar Mega Tyranitar,Rock Dark,309,276,225,5%,5%,,
0249,Lugia,Psychic Flying,193,310,235,2%,4%,"Dragon Tail, Extrasensory","Future Sight, Hydro Pump, Sky Attack, Aeroblast (legacy), Frustration (Shadow), Return (Purified)"
0249,Lugia Apex Lugia,Psychic Flying,193,310,235,2%,4%,"Dragon Tail, Extrasensory","Future Sight, Hydro Pump, Sky Attack, Aeroblast (legacy), Aeroblast+ (Shadow), Aeroblast++ (Purified)"
0250,Ho-oh,Fire Flying,239,244,214,2%,4%,"Extrasensory, Hidden Power, Incinerate, Steel Wing","Brave Bird, Fire Blast, Solar Beam, Earthquake (legacy), Sacred Fire (legacy), Frustration (Shadow), Return (Purified)"
0250,Ho-oh Apex Ho-Oh,Fire Flying,239,244,214,2%,4%,"Extrasensory, Hidden Power, Incinerate, Steel Wing","Brave Bird, Fire Blast, Solar Beam, Earthquake (legacy), Sacred Fire (legacy), Sacred Fire+ (Shadow), Sacred Fire++ (Purified)"
0251,Celebi,Psychic Grass,210,210,225,100%,0%,"Charge Beam, Confusion, Magical Leaf (legacy)","Dazzling Gleam, Hyper Beam, Leaf Storm, Psychic, Seed Bomb"
0252,Treecko,Grass,124,94,120,20%,10%,"Bullet Seed, Pound","Aerial Ace, Energy Ball, Grass Knot, Frustration (Shadow), Return (Purified)"
0253,Grovyle,Grass,172,120,137,10%,7%,"Bullet Seed, Quick Attack","Aerial Ace, Grass Knot, Leaf Blade, Frustration (Shadow), Return (Purified)"
0254,Sceptile,Grass,223,169,172,5%,5%,"Bullet Seed, Fury Cutter","Aerial Ace, Breaking Swipe, Dragon Claw, Earthquake, Leaf Blade, Frenzy Plant (Community Day), Frustration (Shadow), Return (Purified)"
0254,Sceptile Mega Sceptile,Grass Dragon,320,186,172,5%,5%,,
0255,Torchic,Fire,130,87,128,20%,10%,"Ember, Scratch","Flame Charge, Flamethrower, Rock Tomb, Frustration (Shadow), Return (Purified)"
0256,Combusken,Fire Fighting,163,115,155,10%,7%,"Ember, Peck","Flame Charge, Flamethrower, Rock Slide, Frustration (Shadow), Return (Purified)"
0257,Blaziken,Fire Fighting,240,141,190,5%,5%,"Counter, Fire Spin","Blaze Kick, Brave Bird, Focus Blast, Overheat, Stone Edge (legacy), Blast Burn (Community Day), Frustration (Shadow), Return (Purified)"
0257,Blaziken Mega Blaziken,Fire Fighting,329,168,190,5%,5%,,
0258,Mudkip,Water,126,93,137,20%,10%,"Tackle, Water Gun","Dig, Sludge, Stomp, Frustration (Shadow), Return (Purified)"
0259,Marshtomp,Water Ground,156,133,172,10%,7%,"Mud Shot, Water Gun","Mud Bomb, Sludge, Surf, Frustration (Shadow), Return (Purified)"
0260,Swampert,Water Ground,208,175,225,5%,5%,"Mud Shot, Water Gun","Earthquake, Muddy Water, Sludge Wave, Surf, Hydro Cannon (Community Day), Frustration (Shadow), Return (Purified)"
0260,Swampert Mega Swampert,Water Ground,283,218,225,5%,5%,,
0261,Poochyena,Dark,96,61,111,50%,20%,"Snarl, Tackle","Crunch, Dig, Poison Fang, Frustration (Shadow), Return (Purified)"
0262,Mightyena,Dark,171,132,172,20%,7%,"Bite, Fire Fang, Ice Fang, Thunder Fang","Crunch, Play Rough, Poison Fang, Frustration (Shadow), Return (Purified)"
0263,Zigzagoon,Normal,58,80,116,50%,20%,"Rock Smash, Tackle","Dig, Grass Knot, Thunderbolt, Frustration (Shadow), Return (Purified)"
